"","predicted.id","prediction.score.Vip","prediction.score.Lamp5","prediction.score.Sst","prediction.score.Sncg","prediction.score.Serpinf1","prediction.score.Pvalb","prediction.score.Endo","prediction.score.Peri","prediction.score.L6CT","prediction.score.L6b","prediction.score.L6IT","prediction.score.L2and3IT","prediction.score.CR","prediction.score.L5PT","prediction.score.NP","prediction.score.L4","prediction.score.L5IT","prediction.score.Oligo","prediction.score.Meis2","prediction.score.Astro","prediction.score.Macrophage","prediction.score.VLMC","prediction.score.SMC","prediction.score.max"
"98","Astro",0.0240860729129665,0,0,0,0,0,0,0.0462086474054179,0,0,0,0,0,0.267571919086524,0.0586523232774361,0,0,0.152352479041401,0,0.399201276597863,0,0.0388779791266356,0.0130493025517552,0.399201276597863
"99","L5PT",0,0.171572216393332,0.0781806802865933,0,0,0.0584757278265201,0,0.0118629302331255,0.0373148545781579,0,0.00534150238728508,0,0,0.443907615039425,0.0801039320844616,0.0785642775216807,0,0.0346762636494194,0,0,0,0,0,0.443907615039425
"100","L6CT",0.00879118007623858,0,0,0,0,0,0,0,0.943512729672814,0,0.0303945796580395,0.00559256943694527,0,0,0.00304674337323278,0,0,0.00257986129043863,0.00287424208159495,0.00320809441069696,0,0,0,0.943512729672814
"101","Pvalb",0,0.0764340944818746,0.00525237836415829,0,0,0.510016045185451,0,0.0589682149210864,0.126365921370252,0,0.00451817234370084,0,0,0.000872358996882503,0.0918057573759944,0.0393580207539079,0.00758035856010293,0,0,0,0,0.0590130244606528,0.0198156531859369,0.510016045185451
"102","Sst",0.048704569082962,0.0349028942329763,0.823863587905332,0,0,0,0,0,0.00615780409826214,0,0.0390137396213957,0.0206912675841407,0,0.00477731406881612,0,0.021888823406115,0,0,0,0,0,0,0,0.823863587905332
"103","Sst",0.00624585289335602,0.0573679169965629,0.696410306375831,0,0,0,0,0.00304826107078409,0.00232812409262109,0,0,0.00498712698130331,0,0,0.0280222998235057,0.0827160944311584,0,0,0,0.118874017334878,0,0,0,0.696410306375831
"104","L5PT",0.000885253794581713,0.00231037264524609,0,0,0,0.000491851077769193,0,0,0,0.030847002004693,0.00167166844290293,0.00722561389718714,0,0.898092786367733,0,0.00118707484592749,0.0333622048552214,0,0,0.0239261720687385,0,0,0,0.898092786367733
"105","Pvalb",0.00357475636520214,0,0.00990531041338829,0,0,0.94584893662629,0,0,0,0,0.00239287243781638,0,0,0.00124683764919241,0.00326021699650813,0,0.0310556832393778,0,0.000330558611686281,0.00238482766053861,0,0,0,0.94584893662629
"106","L4",0.0494776158650025,0.314205616313124,0,0,0,0.0375728849135705,0,0,0,0,0,0.00607098977596094,0,0,0,0.387777812302778,0.204895080829565,0,0,0,0,0,0,0.387777812302778
"107","L4",0,0.0323241212269526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960022659249589,0.00765321952345824,0,0,0,0,0,0,0.960022659249589
"108","L4",0,0,0,0,0,0,0,0.00117589569646055,0,0,0,0.0490784755760542,0,0.00946832916093439,0.00654671809606881,0.931486612474086,0.0022439689963959,0,0,0,0,0,0,0.931486612474086
"109","L6IT",0.00956389867176666,0.0738789225670106,0.139330043366456,0,0,0.0859643670374132,0,0.00211950950031813,0,0,0.275443569636563,0.0731453729579275,0,0,0.0118008220959504,0.119951791723025,0,0,0,0.20880170244357,0,0,0,0.275443569636563
"110","L6IT",0,0,0.0138870346420158,0,0,0,0,0.00704431407860478,0,0,0.765067751983039,0.0479081062225233,0,0,0.110901188564621,0.0533077644248903,0.00188384008430627,0,0,0,0,0,0,0.765067751983039
"111","L2and3IT",0.0112034719459298,0,0,0,0,0,0,0,0,0,0.06835990241469,0.760724257202238,0,0.034631306758288,0.0781157970074027,0,0.0469652646714514,0,0,0,0,0,0,0.760724257202238
"112","Sst",0.0706525928812787,0.0126048657993382,0.481371308171268,0,0,0,0,0,0.0326052876546544,0,0.0894032711819771,0.245687623972687,0,0.0328101996044856,0,0,0.00396196046779447,0,0,0.0309028902665168,0,0,0,0.481371308171268
"113","Astro",0.00438735430696246,0.013141613496319,0.0102783809961955,0,0,0,0.428165041274583,0.0102244962483555,0,0,0,0.00612633754833115,0,0,0.069574786583468,0.0165120190171063,0,0,0,0.441589970528679,0,0,0,0.441589970528679
"114","Pvalb",0,0.185606860884017,0.185242650929582,0,0,0.480190046428405,0,0,0.0472327938979665,0,0.00523788924870555,0,0,0.0490626469898193,0,0.02558107911614,0,0,0,0,0,0.0218460325053644,0,0.480190046428405
"115","Astro",0.0143663286582983,0,0,0,0,0,0,0.00612212483994473,0,0,0,0,0,0.0133388474740469,0.0552394353637068,0,0,0.0238235553331394,0,0.887109708330864,0,0,0,0.887109708330864
"116","Oligo",0,0.00663121015938703,0.00171102411877743,0,0,0.0216514432431068,0,0,0,0,0.00198320235510257,0,0,0.0235176197887494,0.000778119576961939,0,0,0.935962758424731,0,0.00776462233318462,0,0,0,0.935962758424731
"117","L6IT",0,0.0947135825374037,0.037801492925672,0,0,0,0,0.00702226559440104,0.126866667337227,0.0804657382296768,0.508424612930231,0.00340623553630198,0,0.0239268183158193,0.0518382892464801,0,0,0,0.0655342973467865,0,0,0,0,0.508424612930231
"118","L6CT",0.0097793716263565,0,0.0834205307431181,0,0,0,0,0,0.826264355554479,0,0.0458128070734557,0.000674766262839221,0,0.0309740071808611,0.00307416155889107,0,0,0,0,0,0,0,0,0.826264355554479
"119","L6CT",0.0209943633840326,0,0,0,0,0,0,0.00290807986394257,0.77088275920874,0.0101479235800911,0.0989121349315686,0,0,0,0.0903809875416261,0,0.00577375148999947,0,0,0,0,0,0,0.77088275920874
"120","L6IT",0.0115386038897449,0.000846317487926917,0.00353161505916122,0,0,0.052055984227798,0,0,0.111551859935505,0,0.758819053953979,0,0,0.00220055449593835,0,0.00111833290570176,0.0325073455462414,0.0187759398852172,0,0.00705439261278682,0,0,0,0.758819053953979
"121","NP",0.197180836946022,0.00916159250276895,0.0345290831513688,0,0,0.00649477082393773,0,0.0129473522931158,0.0606387437546592,0,0.0237509866679115,0.00346535571125828,0,0.00146117382090961,0.356644383474164,0,0.0851489516676493,0.0324457256618115,0,0.176131043524423,0,0,0,0.356644383474164
"122","Pvalb",0.00512277236036477,0,0.331440629412696,0,0,0.348644363439075,0,0,0,0,0.018122722615908,0.0456773507833312,0,0.0948942377271963,0.000896903410969229,0.00752083207320967,0.049579535294699,0,0,0,0.0133689777751964,0.084731675107354,0,0.348644363439075
"123","L5IT",0.0165717000294022,0.00738332057058607,0,0,0,0,0,0,0.0059836415838591,0,0.00660536257758568,0.00249650505212322,0,0.00497832095790898,0,0.0033789927108086,0.950647160104602,0,0,0.00195499641312384,0,0,0,0.950647160104602
"124","L4",0.00602563450570302,0.0468489492013344,0.0392661601889625,0,0,0.0054933772253758,0,0,0,0,0.000500047815602674,0,0,0.00551233093735092,0.00420081050150407,0.839510893747345,0.0526417958768214,0,0,0,0,0,0,0.839510893747345
"125","L4",0.00393268552973624,0.0056531109530426,0.00877831966326104,0,0,0.000514770128367263,0.0233938278532335,0.010640228428247,0,0,0.000797398574049293,0.103190239117736,0,0,0.0630603894305326,0.41578579687453,0.364253233447264,0,0,0,0,0,0,0.41578579687453
"126","L5IT",0,0.00110215478388495,0,0,0,0,0.000513166976875988,0,0.113866075026716,0,0,0.229001258557116,0,0.00286585485649185,0,0.109672350339081,0.541952805506081,0,0,0.00102633395375198,0,0,0,0.541952805506081
"127","Vip",0.63478931161282,0.0870875311987196,0.0296718029596956,0,0,0,0,0,0,0,0.00154309670521132,0.0243433483365669,0,0,0.0092286503973084,0.189984598653063,0.00456299510508795,0,0,0,0,0.0187886650315265,0,0.63478931161282
"128","Pvalb",0,0.0347587977158077,0.0274818970648892,0,0,0.770034654286918,0,0.0118392313700924,0,0,0.0566307912786469,0.0165642294465017,0,0,0.0754416220340863,0,0,0,0,0.00724877680305743,0,0,0,0.770034654286918
"129","Lamp5",0.00747300573720836,0.550652743418265,0,0,0,0.0510118556301858,0,0.0013299140397499,0,0,0.00624732608214504,0.280377870023936,0,0,0.00937278444636409,0.0739430762039116,0.0175216050469977,0,0,0.00206981937123632,0,0,0,0.550652743418265
"130","Lamp5",0.13763363084714,0.705787769476786,0.00459907036304434,0,0,0,0,0,0,0,0,0.0635684919259617,0,0,0.00114700777167753,0.0753400510435746,0,0,0,0.0119239785718153,0,0,0,0.705787769476786
"131","Sst",0,0.0106348287526804,0.471414360197213,0,0,0.0232536448914086,0,0,0,0,0.213309957889272,0,0,0,0.0954212633053329,0.185965944964093,0,0,0,0,0,0,0,0.471414360197213
"132","Lamp5",0.00122819110510654,0.575247694936331,0.129230502892904,0,0,0,0,0,0,0,0.176117159515911,0,0,0.0130659094573583,0.0573000401739096,0.0478105019184798,0,0,0,0,0,0,0,0.575247694936331
"133","Sst",0.0128200009462657,0.0209653566612463,0.779968000825275,0,0.00225588034201761,0,0,0.00526847728349476,0.00889158867694692,0,0,0,0,0,0.0855245459933945,0,0,0,0,0.0843061492713595,0,0,0,0.779968000825275
"134","Sst",0.120811930396209,0.104820144347087,0.274600326504583,0,0.104820144347087,0.0413579066539917,0,0,0.0291377845380083,0,0.00347778992079826,0,0,0,0,0,0.0739503740572855,0.207848831229335,0,0.0391747680056152,0,0,0,0.274600326504583
"135","Oligo",0,0.00789409763350281,0.00771887780383939,0,0,0.00984579585013108,0,0,0,0,0.000899922777971526,0,0,0.0227935603570917,0.00352093965336375,0,0,0.947326805924099,0,0,0,0,0,0.947326805924099
"136","L6b",0.0296301454207472,0.0131517337471811,0,0,0,0.00613069754207409,0,0,0.00101203808582556,0.459211510353707,0.183543859241762,0,0,0,0.0532354446373791,0.0971527230998521,0,0.0153086363037233,0.0590551180747685,0.0825680934929793,0,0,0,0.459211510353707
"137","L6CT",0,0.018426668109507,0.0116165147046628,0,0,0.0554167516094917,0,0,0.866202974252349,0.0384206138582775,0,0.00462453623277399,0,0,0.00529194123293835,0,0,0,0,0,0,0,0,0.866202974252349
"138","L6CT",0.00975191726550063,0,0.00675918207686335,0,0,0.00139173701340315,0,0,0.94161993679096,0.00112358867250813,0.00722190917357336,0,0,0,0.029789300874117,0,0.00234242813307476,0,0,0,0,0,0,0.94161993679096
"139","NP",0,0,0,0,0,0,0,0.0468632948860063,0.0566670158923095,0,0.0969303285464728,0.0357698642682704,0,0,0.664397093258238,0,0.0388941952981551,0,0,0.0196635846403357,0,0.0305619053148649,0.0102527178953476,0.664397093258238
"140","Pvalb",0,0,0.010450370228937,0,0,0.459030958161823,0,0,0.0530611470397661,0,0.261454313467324,0,0,0.0662082651078317,0.0716599442752166,0,0.0781350017191012,0,0,0,0,0,0,0.459030958161823
"141","Sst",0.104769901521283,0.0484715707598986,0.415241459506201,0,0.000876653920510508,0.329926672626926,0,0,0,0,0.0191012522922803,0,0,0.000442978720057073,0,0,0.0811695106528438,0,0,0,0,0,0,0.415241459506201
"142","L5IT",0.00507932245215225,0,0.0155470910620112,0,0,0.022216435747756,0,0,0,0,0,0.0236166181077872,0,0.0126150945883333,0.0946070850516696,0.0214459514825919,0.78463102035231,0,0.00552945107608471,0.014711930079304,0,0,0,0.78463102035231
