,Vip,Lamp5,Sst,Sncg,Serpinf1,Pvalb,Endo,Peri,L6CT,L6b,L6IT,L2and3IT,CR,L5PT,NP,L4,L5IT,Oligo,Meis2,Astro,Macrophage,VLMC,SMC
76,0.10645214,0.2000376,0.23164833,0.029547222,2.0580349e-06,0.0001251839,0.00011964733,1.4095704e-07,0.051681936,0.04780149,0.118324324,0.011843335,0.0010674451,0.03714062,0.08808868,0.079005964,0.00032474138,0.0036639257,3.112081e-06,0.026020085,0.0023694066,0.015457357,0.012705369
77,0.8165094,0.36976212,0.6534873,0.060343903,6.55178e-07,0.18638824,0.0029894207,6.272462e-07,0.2844374,0.19415541,0.25393617,0.32347843,0.004279383,0.2166518,0.370134,0.15801105,0.64150226,0.017136144,0.012019871,0.27938595,0.009311936,0.04254902,0.020110479
78,0.80397856,0.57403994,1.1706183,0.017644217,0.0011397912,1.1292927,0.06586729,0.0020718372,0.1250394,0.117462985,0.6610201,0.18446982,0.013354102,0.62872094,0.06352225,0.65246314,0.91315985,0.1588434,0.041463718,0.20772913,0.017902348,0.07596461,0.015562574
79,1.4065076,1.4052116,1.6398284,0.060401924,8.255205e-07,0.8493466,0.10363409,0.022673974,0.37409115,0.27386633,1.7974982,0.35801303,0.031815544,0.7594922,0.17180112,0.4182331,0.8819363,0.2716213,0.022197582,0.4396668,0.0009396664,0.10143762,0.06661952
80,1.753056,0.7496891,0.8495434,0.037312314,5.8052615e-07,1.2599133,0.016706089,4.910449e-07,1.2968854,0.81509763,1.8780668,0.7119083,0.039201528,0.28589556,0.28443328,0.3882867,0.8830489,0.0458989,5.2279333e-06,0.2204503,0.075245835,0.052135885,0.08280661
81,1.1541586,0.43347538,0.86094236,0.10768247,5.1436336e-07,0.7570255,0.036623955,0.05146972,1.4095585,0.27590635,1.5912144,0.86467683,0.12443349,0.08814994,0.10766565,0.2850144,0.42890078,0.024355408,0.12172045,0.13354969,0.022340462,0.042132374,0.02636091
82,0.6625272,0.7220561,0.65197575,0.0024709685,0.053203605,1.3502539,0.049226273,1.1235593e-06,0.42509595,0.13367157,0.8215676,0.5768235,0.004317724,0.05404115,0.23284802,0.30757552,0.5208836,0.024586568,0.0041757305,0.24984269,2.6774046e-06,0.040830236,0.02124578
83,0.90115577,0.64705956,1.1273514,0.11747035,0.0009217015,1.7781335,0.019434128,0.026614068,0.49730486,0.06332394,1.8941479,0.41126102,0.005107476,0.40538236,0.28974608,0.36526796,0.60458815,0.0366511,0.030197741,0.30452186,0.053761765,0.04337163,0.027409114
84,0.776358,0.40823907,0.8349216,0.056035753,7.862299e-07,0.4477429,0.013664785,4.4133085e-07,0.46708286,0.19457439,0.5503473,0.22008571,0.00045321533,0.29921156,0.14329684,0.29012117,0.7702501,0.01862321,0.08245274,0.17452872,0.037210297,0.037705045,0.019581115
85,0.5557137,0.4810589,0.6534928,0.16864353,3.3603885e-07,0.7389579,0.018309172,1.6556347e-06,0.24080175,0.239813,0.7510775,0.70429444,0.007260626,0.79829574,0.20426224,0.49116772,0.43161836,0.0317214,0.04444839,0.25215346,0.029735584,0.05264454,0.05341515
